Label	ImageSource
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1006_spot0.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1006_spot1.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1006_spot10.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1006_spot11.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1006_spot12.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1006_spot13.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1006_spot14.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1006_spot16.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1006_spot2.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1006_spot20.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1006_spot22.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1006_spot3.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1006_spot4.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1006_spot5.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1006_spot6.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1006_spot7.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1006_spot8.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1006_spot9.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1106_spot1.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1106_spot10.png
